topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
DevOps;Cymbal Direct releases new versions of its drone delivery software every 1.5 to 2 months. Although most releases are successful, you have experienced three problematic releases that made drone delivery unavailable while software developers rolled back the release. You want to increase the reliability of software releases and prevent similar problems in the future. What should you do?;Adopt a “waterfall” development process. Maintain the current release schedule. Ensure that documentation explains how all the features interact. Ensure that the entire application is tested in a staging environment before the release. Ensure that the process to roll back the release is documented. Use Cloud Monitoring, Cloud Logging, and Cloud Alerting to ensure visibility.;Adopt an “agile” development process. Reduce the time between releases as much as possible. Automate the build process from a source repository, which includes versioning and self-testing. Use Cloud Monitoring, Cloud Logging, and Cloud Alerting to ensure visibility. Use a canary deployment to detect issues that could cause rollback.;Adopt a “waterfall” development process. Maintain the current release schedule. Ensure that documentation explains how all the features interact. Automate testing of the application. Ensure that the process to roll back the release is well documented. Use Cloud Monitoring, Cloud Logging, and Cloud Alerting to ensure visibility.;Adopt an “agile” development process. Maintain the current release schedule. Automate build processes from a source repository. Automate testing after the build process. Use Cloud Monitoring, Cloud Logging, and Cloud Alerting to ensure visibility. Deploy the previous version if problems are detected and you need to roll back.;b;According to Google Cloud DevOps and SRE best practices, reducing the batch size of releases (frequent, small updates via Agile) reduces the risk of failure. Furthermore, implementing **Canary deployments**  allows you to test updates on a small subset of users first, preventing system-wide downtime and eliminating the need for complex, full-fleet rollbacks if issues arise.;medium;EN
Cloud Billing & Cost Management;Your environment has multiple projects used for development and testing. Each project has a budget, and each developer has a budget. A personal budget overrun can cause a project budget overrun. Several developers are creating resources for testing as part of their CI/CD pipeline but are not deleting these resources after their tests are complete. If the compute resource fails during testing, the test can be run again. You want to reduce costs and notify the developer when a personal budget overrun causes a project budget overrun. What should you do?;Configure billing export to BigQuery. Create a Google Cloud budget for each project. Configure a billing alert to notify billing admins and users when their budget is exceeded. Modify the build scripts/pipeline to label all resources with the label “creator” set to the developer’s email address. Use spot (preemptible) instances wherever possible.;Configure billing export to BigQuery. Create a Google Cloud budget for each project. Create a Pub/Sub topic for developer-budget-notifications. Create a Cloud Run function to notify the developer based on the labels. Modify the build scripts/pipeline to label all resources with the label “creator” set to the developer’s email address. Use spot (preemptible) instances wherever possible.;Configure billing export to BigQuery. Create a Google Cloud budget for each project. Create a Pub/Sub topic for developer-budget-notifications. Create a Cloud Run function to notify the developer based on the labels. Modify the build scripts/pipeline to label all resources with the label “creator” set to the developer’s email address. Use spot (preemptible) instances wherever possible. Use Cloud Scheduler to delete resources older than 24 hours in each project.;Configure billing export to BigQuery. Create a Google Cloud budget for each project. Create a group for the developers in each project, and add them to the appropriate group. Create a notification channel for each group. Configure a billing alert to notify the group when their budget is exceeded. Modify the build scripts/pipeline to label all resources with the label “creator” set to the developer’s email address. Use spot (preemptible) instances wherever possible.;b;According to GCP Cost Management documentation, to send dynamic notifications to specific users (the "creator") based on granular cost attribution, you must use **Programmatic Budget Notifications**. This involves connecting a Budget to a **Pub/Sub** topic, which triggers a **Cloud Run function**. The function can then query the **Billing Export** (BigQuery) to analyze usage by the `creator` label and identify who exceeded their personal limit, satisfying the requirement to notify the specific developer. Standard alerts (Option A/D) cannot route to dynamic labels.;hard;EN
Cloud Architecture;Your organization is planning a disaster recovery (DR) strategy. Your stakeholders require a recovery time objective (RTO) of 0 and a recovery point objective (RPO) of 0 for zone outage. They require an RTO of 4 hours and an RPO of 1 hour for a regional outage. Your application consists of a web application and a backend MySQL database. You need the most efficient solution to meet your recovery KPIs. What should you do?;Use a global external Application Load Balancer. Deploy the web application as Compute Engine managed instance groups (MIG) in two regions, us-west and us-east. Configure the load balancer to use both backends. Use Cloud SQL with high availability (HA) enabled in us-east and back up the database every hour to a multi-region Cloud Storage bucket. Restore the data to a Cloud SQL database in us-west if there is a failure.;Use a global external Application Load Balancer. Deploy the web application as Compute Engine managed instance groups (MIG) in two regions, us-west and us-east. Configure the load balancer to use both backends. Use Cloud SQL with high availability (HA) enabled in us-east and a cross-region replica in us-west.;Use a global external Application Load Balancer. Deploy the web application as Compute Engine managed instance groups (MIG) in two regions, us-west and us-east. Configure the load balancer to the us-east backend. Use Cloud SQL with high availability (HA) enabled in us-east and a cross-region replica in us-west. Manually promote the us-west Cloud SQL instance and change the load balancer backend to us-west.;Use a global external Application Load Balancer. Deploy the web application as Compute Engine managed instance groups (MIG) in two regions, us-west and us-east. Configure the load balancer to use both backends. Use Cloud SQL with high availability (HA) enabled in us-east and back up the database every hour to a multi-region Cloud Storage bucket. Restore the data to a Cloud SQL database in us-west if there is a failure and change the load balancer backend to us-west.;c;To meet the Regional RPO of 1 hour and RTO of 4 hours without the risks of backup delays, a **Cross-Region Read Replica**  is required (providing near-zero RPO). The Load Balancer should be configured Active-Passive (pointing only to `us-east` initially) to prevent traffic from hitting the secondary region where the database is read-only until a manual promotion and failover occur;hard;EN
DevOps;Cymbal Direct has a new social media integration service that pulls images of its products from social media sites and displays them in a gallery of customer images on your online store. You receive an alert from Cloud Monitoring at 3:34 AM on Saturday. The store is still online, but the gallery does not appear. The CPU utilization is 30% higher than expected on the VMs running the service, which causes the managed instance group (MIG) to scale to the maximum number of instances. You verify that the issue is real by checking the site, and verify that it is not CPU-related by checking the incidents timeline. What should you do to resolve the issue?;Increase the maximum number of instances in the MIG and verify that this resolves the issue.;Increase the maximum number of instances in the MIG and verify that this resolves the issue. Check the incident documentation or labels to determine the on-call contact. Appoint an incident commander, and open a chat channel, or conference call for emergency response. Investigate and resolve the root cause of the issue. Write a blameless post-mortem and identify steps to prevent the issue, to ensure a culture of continuous improvement.;Increase the maximum number of instances in the MIG and verify that this resolves the issue. Ensure that the ticket is annotated with your solution. Create a normal work ticket for the application developer with a link to the incident. Mark the incident as closed.;Check the incident documentation or labels to determine the on-call contact. Appoint an incident commander, and open a chat channel, or conference call for emergency response. Investigate and resolve the issue by increasing the maximum number of instances in the MIG, and verify that this resolves the issue. Mark the incident as closed.;a;Cloud Monitoring alerting policies are state-based the incident is automatically closed by the system once the triggering condition (high CPU) is no longer met. Therefore, the correct action is simply to mitigate the capacity issue (Increase MIG), which lowers the CPU utilization and allows the system to auto-resolve the incident, without requiring manual closure or a high-severity response (Incident Commander) for a non-critical feature.;hard;EN
########################
###### CORE INFRA ######
########################
Regions and Zones;What is the primary benefit to a Google Cloud customer of using resources in several zones within a region?;For expanding services to customers in new areas;For better performance;For getting discounts on other zones;For improved fault tolerance;d;According to Google Cloud documentation, zones are designed as independent failure domains (with separate power, cooling, and networking) within a region. Therefore, the primary benefit of distributing resources across multiple zones is improved fault tolerance and high availability against single-zone failures.;easy;EN
Cloud Computing Concepts;What type of cloud computing service lets you bind your application code to libraries that give access to the infrastructure your application needs?;Infrastructure as a service;Software as a service;Hybrid cloud;Platform as a service;d;According to Google Cloud's "Core Infrastructure" course definitions, Platform as a Service (PaaS) is the model where you bind application code to libraries that provide access to the necessary infrastructure, abstracting away the underlying hardware management.;easy;EN
Regions and Zones;Why might a Google Cloud customer use resources in several regions around the world?;To earn discounts;To offer localized application versions in different regions.;To improve security;To bring their applications closer to users around the world, and for improved fault tolerance;d;According to Google Cloud's "Geography and Regions" documentation, using multiple regions allows you to place applications closer to global users to reduce latency (improve performance) and ensures higher fault tolerance and disaster recovery by isolating resources against region-wide outages.;easy;EN

Resource Hierarchy;Choose the correct completion: Services and APIs are enabled on a per-__________ basis.;Folder;Project;Billing account;Organization;b;According to Google Cloud documentation, projects are the base-level organizing entity where you enable and manage APIs and services. While projects belong to organizations and folders, the actual activation of a service happens at the project level.;easy;EN
Resource Hierarchy;Which of these values is globally unique, permanent, and unchangeable, but can be modified by the customer during creation?;The project's billing credit-card number;The project name;The project ID;The project number;c;According to Google Cloud documentation, the Project ID is a globally unique and immutable identifier that cannot be changed after creation, but users can explicitly choose or modify the Project ID string during the initial project creation process (unlike the Project Number, which is auto-assigned).;easy;EN
IAM;Order these IAM role types from broadest to finest-grained.;Custom roles, predefined roles, basic roles;Basic roles, predefined roles, custom roles;Predefined roles, custom roles, basic roles;;b;According to Google Cloud IAM documentation, Basic (Primitive) roles are the broadest as they affect resources project-wide. Predefined roles grant granular access to specific services, and Custom roles are the finest-grained as they allow the selection of specific permissions.;easy;EN

Cloud Load Balancing;How does global Cloud Load Balancing allow you to balance HTTP-based traffic?;Across multiple Google Cloud services.;Across multiple virtual machine instances in a single Compute Engine region.;Across multiple physical machines in a single data center.;Across multiple Compute Engine regions.;d;According to Google Cloud documentation, Global HTTP(S) Load Balancing is designed to distribute traffic across backend instances located in multiple Compute Engine regions using a single global IP address, allowing for cross-region failover and proximity-based routing.;medium;EN
VPC Network;Which of the following describes a Virtual Private Cloud (VPC)?;A secure, individual, private cloud-computing model hosted within a public cloud.;An option that allows one or more direct, private connections to Google.;A fully distributed, software-defined, managed service for traffic distribution.;A service that routes traffic through a Google Point of Presence (PoP).;a;According to Google Cloud documentation, a VPC is a virtual version of a physical network implemented inside of Google's public cloud, providing a secure, logically isolated private network for your cloud resources (essentially a private cloud within a public cloud).;easy;EN
Hybrid Connectivity;For which of these interconnect options is a Service Level Agreement available?;Standard Network Tier;Dedicated Interconnect;Direct Peering;Carrier Peering;b;According to Google Cloud documentation, Dedicated Interconnect includes a Service Level Agreement (SLA) (guaranteeing 99.9% or 99.99% uptime depending on topology), whereas Direct Peering and Carrier Peering are explicitly listed as having no SLA.;medium;EN
Virtual Private Cloud (VPC);In Google Cloud VPCs, what scope do subnets have?;Regional;Zonal;Global;Multi-regional;a;According to Google Cloud documentation, VPC networks are global resources, but subnets are regional resources. A subnet defines a range of IP addresses within a specific region and spans all zones in that region.;easy;EN

Cloud Storage;What is the correct use case for Cloud Storage?;Cloud Storage is well suited to providing the root file system of a Linux virtual machine.;Cloud Storage is well suited to providing durable and highly available object storage.;Cloud Storage is well suited to providing data warehousing services.;Cloud Storage is well suited to providing RDBMS services.;b;Cloud Storage is Google Cloud's object storage service designed for storing unstructured data (objects) with high durability and availability. It is not suitable for VM boot disks (which use Persistent Disk), data warehousing (which uses BigQuery), or RDBMS (which uses Cloud SQL).;easy;EN
Databases;Which relational database service can scale to higher database sizes?;Spanner;Cloud SQL;Bigtable;Firestore;a;Cloud Spanner is a fully managed relational database service that offers unlimited horizontal scaling , unlike Cloud SQL which relies on vertical scaling. Bigtable and Firestore are NoSQL databases.;medium;EN
Cloud Storage;Why would a customer consider the Coldline storage class?;To save money on storing infrequently accessed data.;To save money on storing frequently accessed data.;To improve security.;To use the Coldline Storage API.;a;According to Google Cloud documentation, Coldline Storage is designed for data accessed infrequently (at most once a quarter). It offers lower storage costs than Standard or Nearline storage, making it cost-effective for long-term retention of data that is rarely read.;easy;EN

Google Kubernetes Engine;Where do the resources used to build Google Kubernetes Engine clusters come from?;Cloud Storage;App Engine;Compute Engine;Bare-metal servers;c;According to Google Cloud documentation, standard GKE clusters consist of a control plane and worker nodes, where the nodes are provisioned as Compute Engine virtual machine instances that run your containerized applications.;easy;EN
Kubernetes;What is a Kubernetes pod?;A group of nodes;A group of clusters;A group of VMs;A group of containers;d;According to Kubernetes and GKE documentation, a Pod is the smallest deployable unit of computing that consists of one or more containers sharing storage and network resources.;easy;EN

Serverless Computing;Why might a Google Cloud customer choose to use Cloud Run functions?;Cloud Run functions is the primary way to run C++ applications in Google Cloud.;Their application contains event-driven code that they don't want to provision compute resources for.;Cloud Run functions is a free service for hosting compute operations.;Their application has a legacy monolithic structure that they want to separate into microservices.;b;Cloud Run functions (formerly Cloud Functions) is a serverless, FaaS (Function as a Service) product specifically designed for single-purpose, event-driven code (like processing file uploads or Pub/Sub messages) without the need to provision or manage underlying compute infrastructure.;easy;EN
Cloud Run functions;Which of these statements about Cloud Run functions are correct? Select three: (1) Is a scalable functions-as-a-service platform; (2) Require servers or VMs to be provisioned; (3) Can only be invoked by sending HTTP requests; (4) Is integrated with Cloud Logging; (5) Can be used to extend Cloud services.;1, 2, and 3;1, 4, and 5;2, 3, and 4;3, 4, and 5;b;According to Google Cloud documentation, Cloud Run functions (formerly Cloud Functions) is a serverless, scalable FaaS platform (1) that integrates with Cloud Logging (4) and is often used to connect and extend cloud services (5). It does not require provisioning servers (2 is false) and supports event-driven triggers via Eventarc/PubSub in addition to HTTP (3 is false).;easy;EN
Cloud Run functions;Why might a Google Cloud customer choose to use Cloud Run functions?;Their application contains event-driven code that they don't want to provision compute resources for.;Cloud Run functions is a free service for hosting compute operations.;Cloud Run functions is the primary way to run C++ applications in Google Cloud.;Their application has a legacy monolithic structure that they want to separate into microservices.;a;According to Google Cloud documentation, Cloud Run functions (formerly Cloud Functions) is a serverless, event-driven FaaS platform. It allows developers to run single-purpose code in response to events without the need to provision or manage underlying compute infrastructure (servers).;easy;EN

########################
#### CORE SERVICES #####
########################



